time, volume fraction, curvature(filtered), pos, neg 
0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,0.0
3.0,0.0,0.0,0.0,0.0
4.0,0.0,0.0,0.0,0.0
5.0,0.0,0.0,0.0,0.0
6.0,0.0,0.0,0.0,0.0
7.0,0.0,0.0,0.0,0.0
8.0,0.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0
10.0,4.1189345e-5,7.564228e-6,7.564228e-6,0.0
11.0,4.283234e-5,7.697568e-6,7.6975675e-6,0.0
12.0,4.489844e-5,7.673137e-6,7.673137e-6,0.0
13.0,4.7459496e-5,7.609132e-6,7.609132e-6,0.0
14.0,5.0627983e-5,7.5289136e-6,7.5289136e-6,0.0
15.0,5.4514312e-5,7.4580244e-6,7.4580234e-6,0.0
16.0,5.9229962e-5,7.4026593e-6,7.4026593e-6,0.0
17.0,6.488363e-5,7.319998e-6,7.319998e-6,0.0
18.0,7.158414e-5,7.2917687e-6,7.2917687e-6,0.0
19.0,7.9435005e-5,7.246515e-6,7.246515e-6,0.0
20.0,8.853594e-5,7.2151156e-6,7.2151156e-6,0.0
21.0,9.898284e-5,7.1951017e-6,7.1951017e-6,0.0
22.0,0.000110864836,7.202049e-6,7.202049e-6,0.0
23.0,0.0001242653,7.1832e-6,7.183199e-6,0.0
24.0,0.0001392635,7.1938753e-6,7.1938753e-6,0.0
25.0,0.00015593349,7.2140365e-6,7.2140374e-6,0.0
26.0,0.00017434664,7.2248913e-6,7.2248927e-6,0.0
27.0,0.00019456615,7.236298e-6,7.2362977e-6,0.0
28.0,0.000216652,7.269011e-6,7.269011e-6,0.0
29.0,0.00024066179,7.2990883e-6,7.299089e-6,0.0
30.0,0.00026664397,7.339954e-6,7.339954e-6,0.0
31.0,0.00029465105,7.365559e-6,7.365559e-6,0.0
32.0,0.00032472427,7.3884194e-6,7.38842e-6,0.0
33.0,0.00035690566,7.4181366e-6,7.418136e-6,0.0
34.0,0.00039123252,7.4698078e-6,7.4698078e-6,0.0
35.0,0.00042774313,7.5163266e-6,7.5163266e-6,0.0
36.0,0.00046646892,7.559358e-6,7.559358e-6,-2.0289807e-14
37.0,0.00050743914,7.6116057e-6,7.6116057e-6,0.0
38.0,0.0005506834,7.659385e-6,7.659385e-6,0.0
39.0,0.00059622835,7.701385e-6,7.701386e-6,-1.4387566e-13
40.0,0.0006440993,7.747456e-6,7.747459e-6,-2.401019e-12
41.0,0.0006943195,7.795361e-6,7.7953755e-6,-1.3764671e-11
42.0,0.00074691145,7.84776e-6,7.847797e-6,-3.6252584e-11
43.0,0.0008018945,7.896427e-6,7.896487e-6,-6.1286955e-11
44.0,0.000859289,7.945718e-6,7.945815e-6,-9.715379e-11
45.0,0.0009191108,7.995502e-6,7.9956535e-6,-1.524824e-10
46.0,0.0009813785,8.046379e-6,8.046603e-6,-2.2488258e-10
47.0,0.0010664152,1.1734285e-5,1.1734608e-5,-3.2239242e-10
